Item,Unidade,Categoria,Estoque,Estoque Mínimo,Discriminação,Última Atualização
Tinta Acetinada Suvinil Branco (Hall Aires),Galão,Tinta,1 1/2,0,Não Controle,
 Tinta Acetinada Suvinil Preto Absoluto (Kids TSG),Galão,Tinta,1,0,Não Controle,
Fundo Galvanizado Coral,Galão,Tinta,2,1,Controle,
Fundo Preparador,Galão,Tinta,1/2,1,Controle,
Fita Crepe,Rolo,Pintura,27,10,Controle,
Rolo Atlas de Espuma 23cm,Unidade,Pintura,7,2,Controle,
Rolo Atlas de Espuma 15cm,Unidade,Pintura,6,5,Controle,
Rolo Atlas de Espuma 9cm,Unidade,Pintura,2,5,Controle,
Rolo Atlas de Textura Cabelo de Anjo 23cm,Unidade,Pintura,1,5,Controle,
Rolo Atlas de Lã Antigota 23cm ,Unidade,Pintura,3,5,Controle,
Rolo Atlas de Lã Antigota  15cm,Unidade,Pintura,1,5,Controle,
Rolo Atlas de Lã Antigota  9cm,Unidade,Pintura,1,5,Controle,
"Pincel Atlas 1""",Unidade,Pintura,0,5,Controle,
"Pincel Atlas 1 1/2""",Unidade,Pintura,0,5,Controle,
"Pincel Atlas 2""",Unidade,Pintura,0,5,Controle,
Pinta Risco,Kit,Pintura,1,0,Não Controle,
Tinta Spray RAL 9005 (Esquadrias Aires/Canto),Tubo,Tinta,3,2,Controle,
Tinta Spray RAL 7043 (Esquadrias Inn/TSG),Tubo,Tinta,0,2,Controle,
Tinta Spray RAL 9003 (Portas Pormade Branco),Tubo,Tinta,1,1,Controle,
Tinta Spray Vermelha,Tubo,Tinta,1,0,Não Controle,
Tinta Spray Verde,Tubo,Tinta,1,0,Não Controle,
Rejunte Branco Brilhante,Pacote,Rejunte,4,2,Controle,
Rejunte Cinza Ártico,Pacote,Rejunte,0,2,Controle,
Rejunte Preto,Pacote,Rejunte,6,2,Controle,
Rejunte Corda,Pacote,Rejunte,8,2,Controle,
Rejunte Refratário,Pacote,Rejunte,"4,5",2,Controle,
Rejunte p/ piscina,Pacote,Rejunte,"0,5",1,Controle,
Bloco de espuma,Unidade,Rejunte,3,2,Controle,
Espátula p/ Rejunte,Unidade,Rejunte,0,5,Controle,
Espaçador de piso 3mm,Pacote,Cerâmica,1,0,Não Controle,
Espaçador de piso 2mm,Pacote,Cerâmica,0,2,Controle,
"Espaçador de piso 1,5mm",Pacote,Cerâmica,3,2,Controle,
Espaçador de piso 1mm,Pacote,Cerâmica,4,1,Controle,
Spray VedaTudo Transparente,Tubo,Impermeabilização,14,10,Controle,
SOS Reparo 1KG Tubolit,Caixa,Impermeabilização,1,5,Controle,
Gás Maçarico,Tubo,Impermeabilização,3,2,Controle,
Resina Bautech Transparente Fosco Fachada,Caixa,Impermeabilização,1,1,Controle,
Manta Líquida Incolor Bautech Laje,Balde,Impermeabilização,1,1,Controle,
Pintura Cimentícia Quartzolit,Pacote,Impermeabilização,5,2,Controle,
Tela pintura Cimentícia,Rolo,Impermeabilização,1,1,Controle,
Manta SikaShield,Rolo,Impermeabilização,1,1,Controle,
Cimento Asfáltico,Saco,Impermeabilização,1,1,Controle,
Aditivo Impermeabilizante,Balde,Impermeabilização,1,1,Controle,
Silicone Estrutural DX Max 900 Cinza,Tubo,Tubular,11,0,Não Controle,
Silicone Titebond Cinza,Tubo,Tubular,12,0,Não Controle,
Silicone Preto,Tubo,Tubular,6,0,Não Controle,
Silicone à Base D`água Branco Poliplas,Tubo,Tubular,9,12,Controle,
Espuma Expansiva para Pistola Profissional,Tubo ,Tubular,1,10,Controle,
Chumbador Químico Ancora AQI380PRO,Tubo,Tubular,4,5,Controle,
Suvinil Selatrinca Tubo,Tubo,Tubular,4,12,Controle,
PU30 Quartzolit Cinza,Tubo,Tubular,1,12,Controle,
PU30 Quartzolit Preto,Tubo,Tubular,6,12,Controle,
PU30 Quartzolit Branco,Tubo,Tubular,7,12,Controle,
Silicone Neutro Incolor TOP490N,Tubo,Tubular,3,24,Controle,
Álcool 70° 1L,Unidade,Limpeza,14,5,Controle,
Thinner 900mL,Lata,Limpeza,4,2,Controle,
Aromatizante/Odorizador (Talco),Tubo,Limpeza,3,2,Controle,
Tira Cola Alchem 120mL,Unidade,Limpeza,0,2,Controle,
Limpador de Espuma Expansiva Ancora,Tubo,Limpeza,5,2,Controle,
Esponja Multiuso,Unidade,Limpeza,27,10,Controle,
Fibra Verde,Unidade,Limpeza,3,2,Controle,
Fibra Branca,Unidade,Limpeza,5,2,Controle,
Papel Higiênico,Rolo,Limpeza,24,10,Controle,
Papel Toalha,Rolo,Limpeza,0,10,Controle,
Saco de Lixo 100L (100un),Pacote ,Limpeza,4,1,Controle,
Lona 4x100 100 Micras,Rolo,Limpeza,2,2,Controle,
Saco Alvejado Comum,Unidade,Limpeza,33,20,Controle,
Pano Algodão,Unidade,Limpeza,9,10,Controle,
Pano Microfibra,Unidade,Limpeza,3,3,Controle,
Escova Sanitária com Suporte,Unidade,Limpeza,1,1,Controle,
Alvejante (5L),Galão ,Limpeza,0,2,Controle,
Limpa Vidro (5L),Galão ,Limpeza,2,2,Controle,
Desinfetante (5L),Galão ,Limpeza,3,2,Controle,
Detergente (5L),Galão ,Limpeza,2,1,Controle,
Vassoura ,Unidade,Limpeza,0,3,Controle,
Pá de Limpeza,Unidade,Limpeza,0,3,Controle,
Trincha,Unidade,Limpeza,0,2,Controle,
Balde  (10L),Unidade,Limpeza,1,5,Controle,
Lava a Jato,Unidade,Limpeza,1,1,Ferramenta,
Filtro para Aspirador,Unidade,Limpeza,3,3,Controle,
Rodo Médio,Unidade,Limpeza,0,2,Controle,
Gel Removedor Stritizi,Galão,Limpeza,1,1,Controle,
Propé,Pacote,Limpeza,14,5,Controle,
Máquina ,Unidade,Fechadura,48,0,Não Controle,
Maçaneta,Unidade,Fechadura,17,0,Não Controle,
Chapa-Testa Arredondada,Unidade,Fechadura,39,0,Não Controle,
Chapa-Testa Retangular,Unidade,Fechadura,20,0,Não Controle,
Acabamento de Miolo,Unidade,Fechadura,41,0,Não Controle,
Kit Completo Imab Tesca 55mm,Unidade,Fechadura,3,0,Não Controle,
Kit Completo Imab Tesca 40mm,Unidade,Fechadura,4,0,Não Controle,
Kit Completo Porta de Ferro 20mm,Unidade,Fechadura,4,0,Não Controle,
Dobradiça,Unidade,Fechadura,53,0,Não Controle,
Maçaneta Imab Malba (TSG),Unidade,Fechadura,14,0,Não Controle,
Chave para Banheiro,Unidade,Fechadura,23,0,Não Controle,
Puxador,Par,Fechadura,20,0,Não Controle,
Fecho Maxim-Ar (Padrão Alusistem),Unidade,Esquadria,11,5,Controle,
Recolhedor de Persiana de Janela (Padrão Alusistem),Unidade,Esquadria,9,3,Controle,
Recolhedor de Porta Janela (Padrão Alusistem),Unidade,Esquadria,8,3,Controle,
Puxador Grande,Par,Fechadura,-,-,Não Controle,
Veda-Fresta ,Rolo,Esquadria,-,-,Não Controle,
Borracha para Vidro,Rolo,Esquadria,-,-,Não Controle,
Caixa de Dreno Deceuninck,Unidade,Esquadria,-,-,Não Controle,
Fita de Vedação,Unidade,Esquadria,-,-,Não Controle,
Dobradiça para Corta Fogo,Unidade,Fechadura,-,-,Não Controle,
"Haleta para Persiana (TSG, Inn)",Unidade,Esquadria,-,-,Não Controle,
Haleta para Persiana Branca (Plaza Mayor),Unidade,Esquadria,-,-,Não Controle,
Pá de Concha,Unidade,Ferramenta,4,1,Ferramenta,
Picareta,Unidade,Ferramenta,1,1,Ferramenta,
Raspador,Unidade,Ferramenta,1,1,Ferramenta,
Régua de Alumínio 2M,Unidade,Ferramenta,2,1,Ferramenta,
Enxada,Unidade,Ferramenta,1,1,Ferramenta,
"Riscadeira 1,2M",Unidade,Ferramenta,1,1,Ferramenta,
Riscadeira 50Cm,Unidade,Ferramenta,1,1,Ferramenta,
Escada Telescópica,Unidade,Ferramenta,2,1,Ferramenta,
Escada de Correr,Unidade,Ferramenta,1,1,Ferramenta,
